tag,hex,class,mentioned_in_paper,derived_applied,fill_rate,n_unique_bins,n_testable_bins,status,kw_H,kw_p,mean_min,mean_max,kw_p_fdr,significant_fdr
KVP,180060,Intensity/exposure,True,,1.0,3,1,insufficient,,,0.3201400043383948,0.3201400043383948,,False
XRayTubeCurrent,181151,Intensity/exposure,True,,0.44396551724137934,5,5,testable,2.9488907514595106,0.5664145233433173,0.2210224727272727,0.38622595,0.8181543114959028,False
ConvolutionKernel,181210,Intensity/exposure,False,,0.44396551724137934,3,1,insufficient,,,0.29480981280788177,0.29480981280788177,,False
ContrastBolusAgent,180010,Intensity/exposure,True,,0.9913793103448276,27,9,testable,26.4960582406999,0.0008634436427357086,0.013697199999999998,0.39169292857142857,0.005612383677782106,True
CTDIvol,189345,Intensity/exposure,False,,0.0,0,0,fully_missing,,,,,,False
ContrastFlowRate,181046,Intensity/exposure,True,,0.0,0,0,fully_missing,,,,,,False
Exposure_uAs,181153,Intensity/exposure,False,substituted from Exposure_uAs_derived (direct fill 0/464),0.44396551724137934,5,4,testable,3.848016561016474,0.27835018349456003,0.23609198795180725,0.4202756551724138,0.4668267752647752,False
RevolutionTime,189305,Intensity/exposure,False,,0.05387931034482758,2,1,insufficient,,,0.3920057826086957,0.3920057826086957,,False
ReconstructionAlgorithm,189315,Intensity/exposure,False,,0.0,0,0,fully_missing,,,,,,False
ContrastBolusAgentPhase,189344,Intensity/exposure,True,,0.0,0,0,fully_missing,,,,,,False
SliceThickness,180050,Geometry,True,,1.0,4,3,testable,14.57119895283072,0.000685337269653933,0.18581110714285715,0.3663188761904762,0.005612383677782106,True
Rows,280010,Geometry,False,,1.0,1,1,invariant,,,0.3201925474137931,0.3201925474137931,,False
Columns,280011,Geometry,False,,1.0,1,1,invariant,,,0.3201925474137931,0.3201925474137931,,False
PixelSpacing,280030,Geometry,False,,1.0,4,4,testable,3.7709946357608137,0.28727801554755394,0.29251514074074075,0.3816753181818182,0.4668267752647752,False
ReconstructionDiameter,181100,Geometry,False,,1.0,5,4,testable,13.628453617179195,0.0034570978156965877,0.19123187692307692,0.5072731333333333,0.014980757201351879,True
WindowCenter,281050,Geometry,False,,1.0,7,4,testable,12.064455319401208,0.007165593841362682,0.040134199999999995,0.37856259999999997,0.023288179984428718,True
WindowWidth,281051,Geometry,False,,1.0,6,2,testable,3.7949346904099333,0.051407878646881996,0.19936223076923076,0.32573342459396754,0.11138373706824432,False
TotalCollimationWidth,189307,Geometry,False,,0.05387931034482758,2,2,testable,0.0033936651583843513,0.9535453737589783,0.34036641176470583,0.40510625,0.9535453737589783,False
SpiralPitchFactor,189311,Geometry,True,,0.05387931034482758,2,2,testable,0.0033936651583843513,0.9535453737589783,0.34036641176470583,0.40510625,0.9535453737589783,False
TableSpeed,189309,Geometry,False,,0.05387931034482758,2,2,testable,0.0033936651583843513,0.9535453737589783,0.34036641176470583,0.40510625,0.9535453737589783,False
SpacingBetweenSlices,180088,Geometry,False,substituted from SpacingBetweenSlices_derived (direct fill 0/464),1.0,3,3,testable,9.104745098572979,0.010542162888469084,0.26636665486725664,0.4051856,0.02740962351001962,True
ReformattingThickness,720512,Geometry,True,,0.0,0,0,fully_missing,,,,,,False
ManufacturerModelName,081090,Device,True,,1.0,7,5,testable,1.9892440701959515,0.7377373155030744,0.2123700909090909,0.33030986842105264,0.9535453737589783,False
Manufacturer,080070,Device,True,,1.0,3,1,insufficient,,,0.3201400043383948,0.3201400043383948,,False
BodyPartExamined,180015,Anatomy/position,True,,0.00646551724137931,1,0,fully_missing,,,,,,False
PatientPosition,185100,Anatomy/position,False,,1.0,2,1,insufficient,,,0.3208792937365011,0.3208792937365011,,False
